ID,  Milk,PetFood,Veggies,Cereal,  Nuts,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
120,     9,     3,     9,     8,     3,     9,     6,     5,     5,     3,     4,     5
121,     8,     4,     8,    10,     7,     7,     4,     4,     5,     1,     1,     3
122,     9,     5,     9,     9,     5,     5,     5,     6,     6,     2,     5,     3
123,    10,     5,     8,     9,     2,     7,     5,     3,     9,     1,     3,     5
124,     9,     5,     8,     9,     3,     6,     2,     6,     5,     2,     3,     6
125,     2,     6,    10,     9,     7,     9,     1,     3,    10,     1,     1,     7
126,     3,     7,    10,     9,     7,     7,     0,     0,    10,     2,     2,     8
127,     9,     7,     8,    10,     5,     6,     2,     8,     3,     1,     4,     4
128,    10,     4,     8,     9,     7,     8,     4,     5,     8,     4,     0,     4
129,     9,     8,     7,    10,     5,     5,     5,     7,     4,     1,     1,     7
130,     3,     4,    10,     6,     7,     9,     1,     3,     9,     1,     2,     8
131,     5,     6,     4,     7,     9,     3,     6,     8,     1,     5,     6,     3
132,    10,     6,     7,    10,     4,     5,     7,     8,     6,     3,     3,     4
133,     7,     6,     5,     7,     9,     1,     4,     5,     1,     6,     8,     0
134,     2,     2,    10,     7,     7,     9,     0,     2,     9,     3,     0,     7
135,     7,     6,     6,    10,     5,     8,     4,     9,     5,     2,     7,     7
136,     7,     4,     8,    10,     4,     9,     6,     6,     4,     3,     4,     5
137,     1,     7,     9,     9,     8,     9,     0,     5,     9,     3,     0,     6
138,     1,     5,    10,     9,     7,     8,     1,     3,     9,     3,     0,     7
139,    10,     6,     5,    10,     6,     6,     4,     5,     7,     2,     3,     2
140,     2,     2,     8,     7,     4,     8,     1,     4,     9,     2,     0,     7
141,     3,     3,     9,     4,     7,     8,     0,     2,     7,     2,     2,     6
142,     3,     3,     5,     7,     7,     2,     6,     5,     4,     5,     8,     1
143,     4,     5,     9,     3,     7,    10,     1,     3,    10,     2,     1,     4
144,     3,     3,    10,     7,     8,     9,     1,     1,     7,     3,     0,     6
145,     9,     5,     8,     8,     4,     7,     6,     6,     6,     1,     4,     7
146,     7,     5,     5,     8,     9,     2,     7,     2,     1,     3,     9,     5
147,     4,     5,     8,     9,     9,     3,     7,     7,     4,     6,     7,     0
148,     4,     4,     8,     6,     8,     4,     4,     6,     1,     4,     8,     1
149,     8,     5,    10,     7,     5,    10,     2,     6,     7,     4,     4,     5
150,     9,     4,     8,    10,     2,     7,     2,     4,     6,     1,     3,     7
151,     8,     6,    10,     6,     2,     8,     4,     7,     6,     1,     3,     4
152,     7,     5,     7,     9,     7,     1,     6,     4,     3,     8,     8,     2
153,     9,     8,     7,    10,     3,     8,     3,     7,    10,     3,     2,     2
154,     8,     4,     8,     9,     3,     8,     4,     5,     3,     3,     2,     5
155,     3,     4,     6,     6,     4,     3,     5,     4,     1,     9,     9,     1
156,     4,     4,    10,     3,     6,     9,     0,     1,     8,     2,     3,     9
157,     9,     7,     6,     6,     5,     7,     3,     5,     7,     2,     3,     7
158,     8,     5,     8,     9,     3,     8,     3,     5,     5,     4,     6,     5
159,     3,     4,     9,     8,     6,     9,     0,     1,    10,     2,     0,     7
160,     8,     3,     9,    10,     2,     5,     4,     6,     7,     3,     3,     5
161,     8,     4,     8,     7,     3,     8,     5,     6,     4,     3,     2,     5
162,    10,     3,     6,     9,     3,     9,     5,     7,     3,     1,     4,     5
163,     9,     6,     9,    10,     2,     8,     5,     5,     4,     3,     2,     6
164,     8,     5,     8,     9,     1,     5,     4,     4,     4,     2,     5,     4
165,     2,     1,    10,     7,     9,    10,     0,     1,    10,     3,     1,     6
166,     2,     5,    10,     6,     5,     9,     1,     2,    10,     0,     0,     8
167,     0,     4,     9,     6,     7,     9,     0,     1,     9,     2,     4,     7
168,     0,     5,     9,     7,     9,     6,     0,     1,     9,     3,     0,     5
169,     4,     5,     3,     9,     7,     6,     7,     4,     5,     6,     6,     2
170,     9,     4,     9,    10,     5,     6,     2,     5,     3,     2,     5,     4
171,     9,     4,     7,     9,     2,    10,     2,     3,     4,     1,     1,     6
172,    10,     5,     7,    10,     5,     7,     2,     4,     7,     0,     3,     6
173,     5,     5,     6,     7,     6,     2,     7,     2,     5,     7,     7,     2
174,     8,     6,     9,    10,     4,     4,     3,     8,     6,     2,     2,     5
175,     9,     5,     2,     8,     8,     2,     7,     4,     0,     4,     8,     3
176,     7,     7,     9,     9,     2,     8,     3,     7,     6,     4,     2,     2
177,     9,     6,     7,     9,     5,     8,     4,     6,     8,     1,     4,     5
178,     9,     5,     9,     8,     3,     4,     5,     3,     4,     4,     5,     6
179,    10,     6,     8,     9,     2,     7,     4,     8,     4,     3,     3,     4
180,     3,     5,     8,     8,     6,     7,     0,     0,     7,     2,     2,     6
181,     4,     2,     3,     5,     8,     1,     6,     5,     3,     5,     5,     1
182,     2,     2,    10,     5,     9,    10,     0,     3,     7,     1,     0,     7
183,     2,     6,     9,     2,     9,    10,     0,     0,     8,     3,     2,     7
184,     4,     2,     7,     8,     7,     4,     7,     6,     5,     5,     8,     1
185,     2,     4,    10,     8,     7,     9,     0,     0,     9,     2,     2,     9
186,     4,     4,     8,     6,     8,     2,     8,     1,     7,     5,     7,     1
187,     7,     6,    10,    10,     3,     8,     8,     3,     5,     2,     5,     7
188,     8,     5,     6,    10,     5,     9,     3,     7,     6,     2,     4,     5
189,     2,     6,    10,     6,     6,     8,     0,     2,     8,     3,     0,     5
190,     6,     4,     4,     9,     9,     2,     6,     5,     2,     6,     8,     1
191,     9,     5,     6,     9,     8,     7,     4,     5,     5,     3,     2,     1
192,     1,     5,    10,     6,     7,     7,     0,     1,     9,     3,     1,     4
193,     3,     6,    10,     5,     7,     7,     1,     2,     8,     5,     3,     9
194,     1,     3,    10,     4,     7,     8,     1,     1,     9,     3,     1,     6
195,     7,     5,     6,     7,     8,     2,     7,     5,     2,     5,     7,     1
196,     1,     4,    10,     5,     9,     6,     0,     1,     9,     2,     1,     6
197,     6,     5,     6,     8,     8,     2,     8,     2,     4,     6,     7,     0
198,     9,     4,     5,    10,     5,     7,     2,     6,     5,     3,     2,     6
199,     2,     5,     8,     8,     8,     2,     6,     5,     4,     6,     7,     2
200,     2,     5,     9,     6,     7,     8,     1,     2,     8,     2,     1,     9
201,     2,     2,    10,     6,     9,     8,     0,     0,     7,     4,     2,     5
202,     2,     5,     8,     7,     8,     7,     0,     3,     7,     2,     3,     8
203,     8,     6,     6,    10,     6,     6,     1,     6,     2,     3,     4,     4
204,     1,     7,    10,     4,     6,     5,     0,     2,     7,     2,     1,     9
205,    10,     7,     7,    10,     5,     6,     3,     6,     6,     0,     2,     4
206,     7,     4,     5,     9,     5,     7,     5,     5,     5,     2,     1,     4
207,     2,     6,     7,     6,     6,     3,     6,     3,     5,     7,     9,     1
208,     1,     5,     8,     6,     9,     7,     2,     1,     9,     1,     2,     6
209,     3,     6,     8,     7,    10,     9,     2,     1,     9,     1,     2,     6
210,     6,     6,     5,     9,     8,     3,     5,     9,     3,     3,     8,     1
211,     6,     6,     6,    10,     2,     6,     2,     5,     7,     2,     3,     5
212,     8,     8,     8,    10,     5,     8,     5,     4,     5,     2,     5,     5
213,     1,     8,    10,     5,     7,     8,     0,     1,     9,     4,     3,     6
214,     6,     4,     5,     7,     5,     3,     6,     3,     4,     6,     9,     4
215,     2,     5,    10,     7,     6,     8,     0,     2,     6,     2,     3,     7
216,     5,     4,     4,     8,     6,     4,     5,     7,     3,     5,     8,     2
217,     9,     2,     7,    10,     5,     9,     5,     8,     3,     4,     3,     7
218,     9,     6,     8,     7,     3,     8,     5,     6,     7,     1,     1,     5
219,     9,     7,     7,    10,     6,     7,     6,     6,     6,     2,     4,     8
220,     5,     7,     8,     7,     8,     3,     3,     7,     2,     5,     7,     4
221,     1,     5,    10,     6,     8,     9,     2,     0,     9,     2,     0,     9
222,     9,     4,     4,    10,     4,     7,     4,     9,     3,     0,     4,     4
