Force (Newtons), Deflection (mm), Class
     1.150,      0.686, 1
     1.150,      0.933, 1
     7.721,      2.570, 0
    11.739,     13.813, 1
     1.150,      0.839, 1
     1.150,      0.840, 1
     4.991,      2.912, 1
     1.150,      0.155, 0
     1.150,      0.334, 0
     1.150,      1.325, 1
     4.513,      1.689, 0
     4.201,      1.424, 0
     1.763,      0.762, 0
     5.557,      2.340, 0
     1.150,      0.855, 1
     2.088,      1.484, 1
    10.522,      4.161, 0
     6.771,      2.244, 0
     1.150,      0.455, 0
     1.150,      0.174, 0
     8.966,      4.033, 0
     4.021,      2.203, 0
    18.569,      8.839, 0
     7.654,      1.958, 0
     2.431,      0.944, 0
     1.150,      0.384, 0
     1.150,      0.541, 0
     1.236,      0.498, 0
     1.150,      0.509, 0
     6.420,      6.090, 1
     4.513,      3.303, 1
     5.993,      3.978, 1
     2.687,      1.347, 0
     2.495,      0.979, 0
     1.150,      0.359, 0
    12.399,      6.978, 1
     3.576,      1.205, 0
    14.040,      8.622, 1
     1.150,      0.957, 1
    15.685,      5.759, 0
     9.922,      9.743, 1
     6.338,      5.231, 1
     3.112,      1.325, 0
     9.201,      2.364, 0
    13.662,      7.675, 1
     1.150,      0.784, 1
     5.948,      6.553, 1
     3.757,      1.477, 0
    10.366,      7.102, 1
     4.500,      4.566, 1
     1.150,      0.274, 0
     3.531,      4.007, 1
     1.150,      0.491, 0
    10.954,      5.847, 0
     4.759,      1.791, 0
     1.150,      0.594, 0
     1.150,      1.007, 1
     1.150,      0.295, 0
     1.150,      1.040, 1
    10.067,      8.243, 1
     1.954,      0.916, 0
     1.150,      0.690, 1
     1.150,      1.067, 1
     1.150,      0.807, 1
    14.167,      8.641, 1
     9.719,      3.252, 0
    11.174,      3.271, 0
     1.150,      1.271, 1
     1.150,      0.310, 0
     1.150,      0.348, 0
    13.717,      5.629, 0
     3.674,      3.181, 1
    12.208,      1.793, 0
     1.150,      0.448, 0
     5.176,      2.875, 1
     1.150,      0.341, 0
     1.150,      0.743, 1
     2.364,      1.986, 1
     1.150,      0.529, 0
     1.150,      0.342, 0
     2.704,      1.134, 0
     2.320,      2.261, 1
     5.552,      1.860, 0
    12.403,      4.357, 0
     1.150,      0.812, 1
     4.131,      1.785, 0
     6.743,      5.656, 1
     1.150,      1.078, 1
    17.890,      6.237, 0
     2.751,      1.689, 1
     4.920,      2.341, 0
     4.044,      3.938, 1
     5.988,      1.849, 0
     2.078,      1.944, 1
     1.150,      1.398, 1
     1.150,      0.219, 0
     6.743,      2.969, 0
     8.415,      2.501, 0
    11.065,      7.747, 1
     2.252,      2.662, 1
     1.150,      0.750, 1
     9.129,      2.567, 0
     8.236,      1.767, 0
